ip,latest_mac,mac_type,hostname,os,manufacturer,model
10.183.7.2,00:50:56:AE:0A:68,static,dcc-carin-04,CentOS Linux release 8.4.2105,VMware,"VMware7,1"
10.183.7.20,00:50:56:AE:98:D0,static,dcc-carin-22,CentOS Linux release 8.4.2105,VMware,"VMware7,1"
10.183.7.21,00:50:56:AE:7C:E6,static,dcc-carin-23,CentOS Linux release 8.4.2105,VMware,"VMware7,1"
10.183.7.22,00:50:56:AE:F2:82,static,dcc-carin-24,CentOS Linux release 8.4.2105,VMware,"VMware7,1"
10.183.7.23,00:50:56:AE:50:57,static,hpc-bartesaghi-78,CentOS 8,VMware,"VMware7,1"
10.183.7.24,00:50:56:AE:FF:C6,static,dcc-brownlab-gpu-01,CentOS Linux release 8.4.2105,VMware,"VMware7,1"
10.183.7.25,00:50:56:AE:64:13,static,dcc-brownlab-gpu-02,CentOS Linux release 8.4.2105,VMware,"VMware7,1"
10.183.7.26,00:50:56:AE:19:46,static,dcc-brownlab-gpu-03,CentOS Linux release 8.4.2105,VMware,"VMware7,1"
10.183.7.27,00:50:56:AE:4F:A7,static,dcc-brownlab-gpu-04,CentOS Linux release 8.4.2105,VMware,"VMware7,1"
10.183.7.28,00:50:56:AE:DE:F8,static,dcc-brunellab-gpu-01,CentOS Linux release 8.4.2105,VMware,"VMware7,1"
10.183.7.29,00:50:56:AE:D0:3C,static,dcc-brunellab-gpu-02,CentOS Linux release 8.4.2105,VMware,"VMware7,1"
10.183.7.3,00:50:56:AE:68:19,static,dcc-carin-05,CentOS Linux release 8.4.2105,VMware,"VMware7,1"
10.183.7.30,00:50:56:AE:19:78,static,dcc-brunellab-gpu-03,CentOS Linux release 8.4.2105,VMware,"VMware7,1"
10.183.7.31,00:50:56:AE:00:EB,static,dcc-brunellab-gpu-04,CentOS Linux release 8.4.2105,VMware,"VMware7,1"
10.183.7.32,00:50:56:AE:96:D2,static,dcc-carin-gpu-01,CentOS Linux release 8.4.2105,VMware,"VMware7,1"
10.183.7.4,00:50:56:AE:25:36,static,dcc-carin-06,CentOS Linux release 8.4.2105,VMware,"VMware7,1"
10.183.7.5,00:50:56:AE:10:5B,static,dcc-carin-07,CentOS Linux release 8.4.2105,VMware,"VMware7,1"
10.183.7.50,00:50:56:AE:AE:62,static,dcc-carlsonlab-gpu-07,CentOS Linux release 8.4.2105,VMware,"VMware7,1"
10.183.7.51,00:50:56:AE:7C:18,static,dcc-carlsonlab-gpu-08,CentOS Linux release 8.4.2105,VMware,"VMware7,1"
10.183.7.53,00:50:56:AE:A2:D2,static,dcc-carlsonlab-gpu-10,CentOS Linux release 8.4.2105,VMware,"VMware7,1"
10.183.7.54,00:50:56:AE:AB:E6,static,dcc-gcb-03,CentOS Stream release 8,VMware,"VMware7,1"
10.183.7.56,00:50:56:AE:62:B2,static,dcc-carlsonlab-gpu-13,CentOS Linux release 8.4.2105,VMware,"VMware7,1"
10.183.7.57,00:50:56:AE:D8:59,static,dcc-carlsonlab-gpu-14,CentOS Linux release 8.4.2105,VMware,"VMware7,1"
10.183.7.58,00:50:56:AE:C9:1C,static,dcc-carlsonlab-gpu-15,CentOS Linux release 8.4.2105,VMware,"VMware7,1"
10.183.7.59,00:50:56:AE:65:C9,static,dcc-carlsonlab-gpu-16,CentOS Linux release 8.4.2105,VMware,"VMware7,1"
10.183.7.6,00:50:56:AE:2B:B4,static,dcc-carin-08,CentOS Linux release 8.4.2105,VMware,"VMware7,1"
10.183.7.60,00:50:56:AE:21:2F,static,dcc-chg-01,CentOS Linux release 8.4.2105,VMware,"VMware7,1"
10.183.7.7,00:50:56:AE:F9:5F,static,dcc-carin-09,CentOS Linux release 8.4.2105,VMware,"VMware7,1"
10.183.7.8,00:50:56:AE:BB:9E,static,dcc-carin-10,CentOS Linux release 8.4.2105,VMware,"VMware7,1"
10.183.7.9,00:50:56:AE:14:B3,static,dcc-carin-11,CentOS Linux release 8.4.2105,VMware,"VMware7,1"
10.194.219.77,3C:22:FB:2B:17:0B,dynamic,yandeAir,NA,Apple,NA
128.109.1.241,,static,NA,NA,NA,NA
152.3.103.176,00:50:56:A1:2E:79,static,idms-dockernode-kdc-01,Red Hat Enterprise Linux Server 7.9 (Maipo),VMware,VMware Virtual Platform
152.3.250.1,00:00:0C:9F:F1:95,static,NA,NA,Cisco,NA
152.3.250.2,00:00:0C:9F:F1:95,static,NA,NA,Cisco,NA
152.3.70.100,00:23:E9:54:1D:0A,static,NA,NA,F5 Networks,NA
152.3.70.64,00:23:E9:54:1D:0A,static,NA,NA,F5 Networks,NA
152.3.72.100,F6:15:63:16:02:03,static,NA,NA,F5 Networks,NA
152.3.72.166,F6:15:63:16:02:03,static,NA,NA,F5 Networks,NA
152.3.72.177,F6:15:63:16:02:03,static,NA,NA,F5 Networks,NA
152.3.80.200,00:50:56:A1:0C:7D,static,os-infra-prod-01-g57g5,Fedora CoreOS 38.20231002.3.1,VMware,NA
158.69.68.124,,static,NA,NA,NA,NA
34.236.212.125,,static,NA,NA,NA,NA
44.205.209.155,,static,NA,NA,NA,NA
44.209.99.177,,static,NA,NA,NA,NA
50.18.194.39,,static,NA,NA,NA,NA
54.183.140.32,,static,NA,NA,NA,NA
54.183.142.105,,static,NA,NA,NA,NA
54.241.186.124,,static,NA,NA,NA,NA
54.241.197.58,,static,NA,NA,NA,NA
54.67.119.89,,static,NA,NA,NA,NA
54.67.123.234,,static,NA,NA,NA,NA
54.67.26.184,,static,NA,NA,NA,NA
54.67.48.56,,static,NA,NA,NA,NA
54.67.54.116,,static,NA,NA,NA,NA
54.67.68.88,,static,NA,NA,NA,NA
54.67.92.206,,static,NA,NA,NA,NA
10.136.242.14,00:50:56:A1:22:19,static,dns-cache-fitz-01,Debian GNU/Linux 10,VMware,NA
10.136.242.15,00:50:56:A1:C6:FB,static,dns-cache-fitz-02,Debian GNU/Linux 10,VMware,NA
10.138.12.129,00:50:56:A1:95:4E,static,NA,NA,VMware,NA
10.138.68.28,00:50:56:A1:0C:4C,static,dku-vcm-1343,Ubuntu 18.04,VMware,"VMware7,1"
10.138.80.40,00:50:56:A1:68:B0,static,mon-icinga2-02,Ubuntu 22.04.4 LTS,VMware,"VMware7,1"
